Run 6975: Mean_no_cut = 1.0014, Mean_PID = 1.0015, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0258
Run 2023: Mean_no_cut = 0.9998, Mean_PID = 1.0002, Mean_PID_Delta = 1.0021, Sigma_cut = 0.0320, Sigma_PID = 0.0315, Sigma_PID_Delta = 0.0300
Run 6903: Mean_no_cut = 1.0013, Mean_PID = 1.0014, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 5182: Mean_no_cut = 0.9989, Mean_PID = 0.9998, Mean_PID_Delta = 0.9990, Sigma_cut = 0.0290, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0261
Run 6863: Mean_no_cut = 1.0020, Mean_PID = 1.0030, Mean_PID_Delta = 1.0027, Sigma_cut = 0.0290, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0264
Run 5977: Mean_no_cut = 0.9703, Mean_PID = 1.0018, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0576, Sigma_PID = 0.0291, Sigma_PID_Delta = 0.0274
Run 6998: Mean_no_cut = 1.0010, Mean_PID = 1.0012, Mean_PID_Delta = 1.0009, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 4394: Mean_no_cut = 0.9998, Mean_PID = 1.0000, Mean_PID_Delta = 0.9995, Sigma_cut = 0.0285, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0262
Run 5155: Mean_no_cut = 0.9989, Mean_PID = 0.9999, Mean_PID_Delta = 0.9991, Sigma_cut = 0.0291, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0262
Run 6871: Mean_no_cut = 1.0013, Mean_PID = 1.0015, Mean_PID_Delta = 1.0009, Sigma_cut = 0.0281, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0259
Run 2019: Mean_no_cut = 0.9992, Mean_PID = 0.9995, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0320, Sigma_PID = 0.0315, Sigma_PID_Delta = 0.0299
Run 3150: Mean_no_cut = 0.9982, Mean_PID = 0.9985, Mean_PID_Delta = 0.9989, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 6911: Mean_no_cut = 1.0019, Mean_PID = 1.0021, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0258
